week,country_territory,current_zika_transmission,zika_transmission_in_past_9_mnths
18-Feb-16,American Samoa,Increasing or widespread transmission,Yes
18-Feb-16,Aruba,Sporadic transmission following recent introduction,Yes
18-Feb-16,Barbados,Increasing or widespread transmission,Yes
18-Feb-16,Bolivia,Sporadic transmission following recent introduction,Yes
18-Feb-16,Brazil,Increasing or widespread transmission,Yes
18-Feb-16,Bonaire,Sporadic transmission following recent introduction,Yes
18-Feb-16,Cape Verde,Increasing or widespread transmission,Yes
18-Feb-16,Colombia,Increasing or widespread transmission,Yes
18-Feb-16,Costa Rica,Sporadic transmission following recent introduction,Yes
18-Feb-16,Curaçao,Increasing or widespread transmission,Yes
18-Feb-16,Dominican Republic,Increasing or widespread transmission,Yes
18-Feb-16,Ecuador,Increasing or widespread transmission,Yes
18-Feb-16,El Salvador,Increasing or widespread transmission,Yes
18-Feb-16,Fiji,No,Yes
18-Feb-16,French Guiana,Increasing or widespread transmission,Yes
18-Feb-16,Guadeloupe,Increasing or widespread transmission,Yes
18-Feb-16,Guatemala,Increasing or widespread transmission,Yes
18-Feb-16,Guyana,Sporadic transmission following recent introduction,Yes
18-Feb-16,Haiti,Increasing or widespread transmission,Yes
18-Feb-16,Honduras,Increasing or widespread transmission,Yes
18-Feb-16,Jamaica,Sporadic transmission following recent introduction,Yes
18-Feb-16,Maldives,No,Yes
18-Feb-16,Marshall Islands,Sporadic transmission following recent introduction,Yes
18-Feb-16,Martinique,Increasing or widespread transmission,Yes
18-Feb-16,Mexico,Increasing or widespread transmission,Yes
18-Feb-16,New Caledonia,No,Yes
18-Feb-16,Nicaragua,Increasing or widespread transmission,Yes
18-Feb-16,Panama,Increasing or widespread transmission,Yes
18-Feb-16,Paraguay,Increasing or widespread transmission,Yes
18-Feb-16,Puerto Rico,Increasing or widespread transmission,Yes
18-Feb-16,Saint Martin,Sporadic transmission following recent introduction,Yes
18-Feb-16,Samoa,Increasing or widespread transmission,Yes
18-Feb-16,Solomon Islands,No,Yes
18-Feb-16,Suriname,Increasing or widespread transmission,Yes
18-Feb-16,Thailand,Sporadic transmission following recent introduction,Yes
18-Feb-16,Tonga,Increasing or widespread transmission,Yes
18-Feb-16,Trinidad and Tobago,Sporadic transmission following recent introduction,Yes
18-Feb-16,Vanuatu,No,Yes
18-Feb-16,Venezuela,Increasing or widespread transmission,Yes
18-Feb-16,US Virgin Islands,Sporadic transmission following recent introduction,Yes
12-Feb-16,American Samoa,Increasing or widespread transmission,Yes
12-Feb-16,Barbados,Increasing or widespread transmission,Yes
12-Feb-16,Bolivia,Sporadic transmission following recent introduction,Yes
12-Feb-16,Brazil,Increasing or widespread transmission,Yes
12-Feb-16,Cape Verde,Increasing or widespread transmission,Yes
12-Feb-16,Colombia,Increasing or widespread transmission,Yes
12-Feb-16,Costa Rica,Sporadic transmission following recent introduction,Yes
12-Feb-16,Curaçao,Sporadic transmission following recent introduction,Yes
12-Feb-16,Dominican Republic,Increasing or widespread transmission,Yes
12-Feb-16,Ecuador,Increasing or widespread transmission,Yes
12-Feb-16,El Salvador,Increasing or widespread transmission,Yes
12-Feb-16,Fiji,No,Yes
12-Feb-16,French Guiana,Increasing or widespread transmission,Yes
12-Feb-16,Guadeloupe,Increasing or widespread transmission,Yes
12-Feb-16,Guatemala,Increasing or widespread transmission,Yes
12-Feb-16,Guyana,Sporadic transmission following recent introduction,Yes
12-Feb-16,Haiti,Increasing or widespread transmission,Yes
12-Feb-16,Honduras,Increasing or widespread transmission,Yes
